"filename", "language", "TypeScript", "JSON", "JavaScript", "JSON with Comments", "HTML", "CSS", "Svelte", "Markdown", "comment", "blank", "total"
"d:\CodeProjects_2\sharemai-tobeit68\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 3
"d:\CodeProjects_2\sharemai-tobeit68\components.json", "JSON", 0, 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"d:\CodeProjects_2\sharemai-tobeit68\eslint.config.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 3, 31
"d:\CodeProjects_2\sharemai-tobeit68\package-lock.json", "JSON", 0, 4643, 0, 0, 0, 0, 0, 0, 0, 1, 4644
"d:\CodeProjects_2\sharemai-tobeit68\package.json", "JSON", 0, 49, 0, 0, 0, 0, 0, 0, 0, 1, 50
"d:\CodeProjects_2\sharemai-tobeit68\postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"d:\CodeProjects_2\sharemai-tobeit68\src\app.css", "CSS", 0, 0, 0, 0, 0, 73, 0, 0, 0, 14, 87
"d:\CodeProjects_2\sharemai-tobeit68\src\app.d.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 9, 3, 24
"d:\CodeProjects_2\sharemai-tobeit68\src\app.html", "HTML", 0, 0, 0, 0, 12, 0, 0, 0, 0, 1, 13
"d:\CodeProjects_2\sharemai-tobeit68\src\hooks.server.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\client_secret_350137452080-t6977uutmdaiv57pek3otot8g0dgqjm9.apps.googleusercontent.com.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\main\Header.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 31, 0, 0, 1, 32
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\main\LogoWithName.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 9
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\main\PostCard.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 40, 0, 0, 3, 43
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\main\profile\YearCalender.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 132, 0, 0, 8, 140
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\alert-dialog\alert-dialog-action.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 11, 0, 0, 3, 14
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\alert-dialog\alert-dialog-cancel.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 15, 0, 0, 3, 18
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\alert-dialog\alert-dialog-content.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 21, 0, 0, 3, 24
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\alert-dialog\alert-dialog-description.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\alert-dialog\alert-dialog-footer.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 21
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\alert-dialog\alert-dialog-header.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 21
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\alert-dialog\alert-dialog-overlay.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 17, 0, 0, 3, 20
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\alert-dialog\alert-dialog-title.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\alert-dialog\index.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 0, 1, 3, 40
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\avatar\avatar-fallback.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\avatar\avatar-image.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\avatar\avatar.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\avatar\index.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 1, 2, 14
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\badge\badge.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 45, 0, 0, 6, 51
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\badge\index.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\button\button.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 68, 0, 0, 7, 75
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\button\index.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 1, 2, 18
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\calendar\calendar-cell.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 17, 0, 0, 3, 20
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\calendar\calendar-day.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 28, 0, 0, 3, 31
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\calendar\calendar-grid-body.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 10, 0, 0, 3, 13
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\calendar\calendar-grid-head.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 10, 0, 0, 3, 13
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\calendar\calendar-grid-row.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 10, 0, 0, 3, 13
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\calendar\calendar-grid.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\calendar\calendar-head-cell.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\calendar\calendar-header.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\calendar\calendar-heading.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 10, 0, 0, 3, 13
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\calendar\calendar-months.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 21
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\calendar\calendar-next-button.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 25, 0, 0, 4, 29
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\calendar\calendar-prev-button.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 25, 0, 0, 4, 29
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\calendar\calendar.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 55, 0, 4, 3, 62
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\calendar\index.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 1, 2, 31
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\card\card-content.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\card\card-description.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\card\card-footer.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\card\card-header.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\card\card-title.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 23, 0, 0, 3, 26
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\card\card.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 21
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\card\index.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 1, 2, 23
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\drawer\drawer-content.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 25, 0, 0, 3, 28
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\drawer\drawer-description.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\drawer\drawer-footer.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\drawer\drawer-header.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 21
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\drawer\drawer-nested.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 10, 0, 0, 3, 13
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\drawer\drawer-overlay.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\drawer\drawer-title.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\drawer\drawer.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 10, 0, 0, 3, 13
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\drawer\index.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 0, 1, 5, 42
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\input\index.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\input\input.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 20, 0, 0, 3, 23
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\label\index.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\label\label.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 17, 0, 0, 3, 20
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\popover\index.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 1, 2, 18
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\popover\popover-content.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 23, 0, 0, 3, 26
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\range-calendar\index.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 0, 1, 3, 33
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\range-calendar\range-calendar-cell.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 17, 0, 0, 3, 20
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\range-calendar\range-calendar-day.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 31, 0, 0, 4, 35
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\range-calendar\range-calendar-grid-row.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 10, 0, 0, 3, 13
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\range-calendar\range-calendar-grid.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\range-calendar\range-calendar-head-cell.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\range-calendar\range-calendar-header.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\range-calendar\range-calendar-heading.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\range-calendar\range-calendar-months.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 21
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\range-calendar\range-calendar-next-button.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 25, 0, 0, 4, 29
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\range-calendar\range-calendar-prev-button.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 25, 0, 0, 4, 29
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\range-calendar\range-calendar.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 55, 0, 0, 3, 58
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\select\index.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 0, 1, 4, 35
"d:\CodeProjects_2\sharemai-tobeit68\src\lib\components\ui\select\select-content.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 34, 0, 0, 3, 37
